"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"31.12.2018","0,7570","0,8080","0,8360","0,7570","0,40%"
"28.12.2018","0,7540","0,8490","0,8650","0,7510","-4,44%"
"27.12.2018","0,7890","0,8390","0,8490","0,7490","5,62%"
"26.12.2018","0,7470","0,7470","0,7470","0,7470","0,95%"
"24.12.2018","0,7400","0,7870","0,7870","0,7400","-6,09%"
"21.12.2018","0,7880","0,7920","0,8250","0,7710","3,55%"
"20.12.2018","0,7610","0,7610","0,8020","0,7340","0,53%"
"19.12.2018","0,7570","0,8010","0,8360","0,7500","-2,32%"
"18.12.2018","0,7750","0,7530","0,8290","0,7410","1,44%"
"17.12.2018","0,7640","0,7590","0,8090","0,7460","1,19%"
"16.12.2018","0,7550","0,7550","0,7550","0,7550","0,94%"
"14.12.2018","0,7480","0,7850","0,8300","0,7380","-5,44%"
"13.12.2018","0,7910","0,8060","0,8260","0,7440","3,26%"
"12.12.2018","0,7660","0,7600","0,7810","0,7070","6,69%"
"11.12.2018","0,7180","0,7280","0,7800","0,7120","1,41%"
"10.12.2018","0,7080","0,7330","0,7630","0,6760","-9,11%"
"08.12.2018","0,7790","0,7790","0,7790","0,7790","0,00%"
"07.12.2018","0,7790","0,7560","0,8160","0,7530","3,87%"
"06.12.2018","0,7500","0,7580","0,7840","0,7280","-3,23%"
"05.12.2018","0,7750","0,7480","0,8080","0,7450","5,44%"
"04.12.2018","0,7350","0,7700","0,7950","0,7320","-1,47%"
"03.12.2018","0,7460","0,8200","0,8480","0,7420","-3,74%"
"01.12.2018","0,7750","0,7750","0,7750","0,7750","0,00%"
"30.11.2018","0,7750","0,7870","0,8030","0,7610","-0,39%"
"29.11.2018","0,7780","0,7450","0,7990","0,7440","-2,75%"
"28.11.2018","0,8000","0,8560","0,8560","0,7680","-0,74%"
"27.11.2018","0,8060","0,8170","0,8170","0,7660","0,88%"
"26.11.2018","0,7990","0,7850","0,8230","0,7700","4,44%"
"23.11.2018","0,7650","0,7950","0,7950","0,7540","-2,80%"
"22.11.2018","0,7870","0,7650","0,8160","0,7440","2,74%"
"21.11.2018","0,7660","0,7630","0,7880","0,7280","4,22%"
